2026-06-23 18:14:24 | INFO     | OrderBook-AAPL | Initialized OrderBook for AAPL
2026-06-23 18:14:51 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=e3ad6ef1-5989-408d-85d9-8747cd3f8be1, agent=institutional_trader, side=BUY, type=MARKET, qty=100/100, price=MKT, status=ACTIVE, time=2025-03-01T09:30:00+00:00)
2026-06-23 18:14:51 | INFO     | OrderBook-AAPL | Processing MARKET BUY order: Order(id=e3ad6ef1-5989-408d-85d9-8747cd3f8be1, agent=institutional_trader, side=BUY, type=MARKET, qty=100/100, price=MKT, status=ACTIVE, time=2025-03-01T09:30:00+00:00)
2026-06-23 18:14:51 | WARNING  | OrderBook-AAPL | Market order e3ad6ef1-5989-408d-85d9-8747cd3f8be1 partially unfilled: 100 shares remaining
2026-06-23 18:14:51 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=f67ba0ed-29cb-4e33-84c6-5804735d8266, agent=retail_population_2, side=BUY, type=MARKET, qty=4/4, price=MKT, status=ACTIVE, time=2025-03-01T09:30:00+00:00)
2026-06-23 18:14:51 | INFO     | OrderBook-AAPL | Processing MARKET BUY order: Order(id=f67ba0ed-29cb-4e33-84c6-5804735d8266, agent=retail_population_2, side=BUY, type=MARKET, qty=4/4, price=MKT, status=ACTIVE, time=2025-03-01T09:30:00+00:00)
2026-06-23 18:14:51 | WARNING  | OrderBook-AAPL | Market order f67ba0ed-29cb-4e33-84c6-5804735d8266 partially unfilled: 4 shares remaining
2026-06-23 18:14:51 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=12668d92-088b-43b3-af1f-aae27ee2670d, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=ACTIVE, time=2025-03-01T09:30:00+00:00)
2026-06-23 18:14:51 | INFO     | OrderBook-AAPL | Adding LIMIT BUY order: Order(id=12668d92-088b-43b3-af1f-aae27ee2670d, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=ACTIVE, time=2025-03-01T09:30:00+00:00)
2026-06-23 18:14:51 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=f5e6d5f2-e74f-4264-9c15-42ccf3bfa13c, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=ACTIVE, time=2025-03-01T09:30:00+00:00)
2026-06-23 18:14:51 | INFO     | OrderBook-AAPL | Adding LIMIT SELL order: Order(id=f5e6d5f2-e74f-4264-9c15-42ccf3bfa13c, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=ACTIVE, time=2025-03-01T09:30:00+00:00)
2026-06-23 18:14:56 | INFO     | OrderBook-AAPL | Order 12668d92-088b-43b3-af1f-aae27ee2670d removed from bids at price 99.88
2026-06-23 18:14:56 | INFO     | OrderBook-AAPL | Order canceled: Order(id=12668d92-088b-43b3-af1f-aae27ee2670d, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=CANCELED, time=2025-03-01T09:30:00+00:00)
2026-06-23 18:14:56 | INFO     | OrderBook-AAPL | Order f5e6d5f2-e74f-4264-9c15-42ccf3bfa13c removed from asks at price 100.12
2026-06-23 18:14:56 | INFO     | OrderBook-AAPL | Order canceled: Order(id=f5e6d5f2-e74f-4264-9c15-42ccf3bfa13c, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=CANCELED, time=2025-03-01T09:30:00+00:00)
2026-06-23 18:14:56 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=828a4aa5-5e43-456e-a133-61b7a8f3bf46, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=ACTIVE, time=2025-03-01T09:30:30+00:00)
2026-06-23 18:14:56 | INFO     | OrderBook-AAPL | Adding LIMIT BUY order: Order(id=828a4aa5-5e43-456e-a133-61b7a8f3bf46, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=ACTIVE, time=2025-03-01T09:30:30+00:00)
2026-06-23 18:14:56 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=aa035a45-e529-4d08-8897-76400111934d, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=ACTIVE, time=2025-03-01T09:30:30+00:00)
2026-06-23 18:14:56 | INFO     | OrderBook-AAPL | Adding LIMIT SELL order: Order(id=aa035a45-e529-4d08-8897-76400111934d, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=ACTIVE, time=2025-03-01T09:30:30+00:00)
2026-06-23 18:15:01 | INFO     | OrderBook-AAPL | Order aa035a45-e529-4d08-8897-76400111934d removed from asks at price 100.12
2026-06-23 18:15:01 | INFO     | OrderBook-AAPL | Order canceled: Order(id=aa035a45-e529-4d08-8897-76400111934d, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=CANCELED, time=2025-03-01T09:30:30+00:00)
2026-06-23 18:15:01 | INFO     | OrderBook-AAPL | Order 828a4aa5-5e43-456e-a133-61b7a8f3bf46 removed from bids at price 99.88
2026-06-23 18:15:01 | INFO     | OrderBook-AAPL | Order canceled: Order(id=828a4aa5-5e43-456e-a133-61b7a8f3bf46, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=CANCELED, time=2025-03-01T09:30:30+00:00)
2026-06-23 18:15:01 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=d117f0e6-6456-43e3-ba42-29bf93589e23, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=ACTIVE, time=2025-03-01T09:31:00+00:00)
2026-06-23 18:15:01 | INFO     | OrderBook-AAPL | Adding LIMIT BUY order: Order(id=d117f0e6-6456-43e3-ba42-29bf93589e23, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=ACTIVE, time=2025-03-01T09:31:00+00:00)
2026-06-23 18:15:01 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=661084d0-ab74-4319-b507-318ec87cf324, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=ACTIVE, time=2025-03-01T09:31:00+00:00)
2026-06-23 18:15:01 | INFO     | OrderBook-AAPL | Adding LIMIT SELL order: Order(id=661084d0-ab74-4319-b507-318ec87cf324, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=ACTIVE, time=2025-03-01T09:31:00+00:00)
2026-06-23 18:15:06 | INFO     | OrderBook-AAPL | Order 661084d0-ab74-4319-b507-318ec87cf324 removed from asks at price 100.12
2026-06-23 18:15:06 | INFO     | OrderBook-AAPL | Order canceled: Order(id=661084d0-ab74-4319-b507-318ec87cf324, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=CANCELED, time=2025-03-01T09:31:00+00:00)
2026-06-23 18:15:06 | INFO     | OrderBook-AAPL | Order d117f0e6-6456-43e3-ba42-29bf93589e23 removed from bids at price 99.88
2026-06-23 18:15:06 | INFO     | OrderBook-AAPL | Order canceled: Order(id=d117f0e6-6456-43e3-ba42-29bf93589e23, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=CANCELED, time=2025-03-01T09:31:00+00:00)
2026-06-23 18:15:06 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=f32c23b8-4e55-4c2b-93e4-53cef378224f, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=ACTIVE, time=2025-03-01T09:31:30+00:00)
2026-06-23 18:15:06 | INFO     | OrderBook-AAPL | Adding LIMIT BUY order: Order(id=f32c23b8-4e55-4c2b-93e4-53cef378224f, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=ACTIVE, time=2025-03-01T09:31:30+00:00)
2026-06-23 18:15:06 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=2082bb4c-82ee-4976-98bf-8350feeb76b9, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=ACTIVE, time=2025-03-01T09:31:30+00:00)
2026-06-23 18:15:06 | INFO     | OrderBook-AAPL | Adding LIMIT SELL order: Order(id=2082bb4c-82ee-4976-98bf-8350feeb76b9, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=ACTIVE, time=2025-03-01T09:31:30+00:00)
2026-06-23 18:15:11 | INFO     | OrderBook-AAPL | Order 2082bb4c-82ee-4976-98bf-8350feeb76b9 removed from asks at price 100.12
2026-06-23 18:15:11 | INFO     | OrderBook-AAPL | Order canceled: Order(id=2082bb4c-82ee-4976-98bf-8350feeb76b9, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=CANCELED, time=2025-03-01T09:31:30+00:00)
2026-06-23 18:15:11 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=55dc03e7-3a6d-43d1-9f55-1ebba2d2cfc1, agent=institutional_trader, side=BUY, type=MARKET, qty=100/100, price=MKT, status=ACTIVE, time=2025-03-01T09:32:00+00:00)
2026-06-23 18:15:11 | INFO     | OrderBook-AAPL | Processing MARKET BUY order: Order(id=55dc03e7-3a6d-43d1-9f55-1ebba2d2cfc1, agent=institutional_trader, side=BUY, type=MARKET, qty=100/100, price=MKT, status=ACTIVE, time=2025-03-01T09:32:00+00:00)
2026-06-23 18:15:11 | WARNING  | OrderBook-AAPL | Market order 55dc03e7-3a6d-43d1-9f55-1ebba2d2cfc1 partially unfilled: 100 shares remaining
2026-06-23 18:15:11 | INFO     | OrderBook-AAPL | Order f32c23b8-4e55-4c2b-93e4-53cef378224f removed from bids at price 99.88
2026-06-23 18:15:11 | INFO     | OrderBook-AAPL | Order canceled: Order(id=f32c23b8-4e55-4c2b-93e4-53cef378224f, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=CANCELED, time=2025-03-01T09:31:30+00:00)
2026-06-23 18:15:11 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=b5a9f1f3-0dcc-4841-9162-b3aa11b3647b, agent=retail_population_1, side=BUY, type=MARKET, qty=4/4, price=MKT, status=ACTIVE, time=2025-03-01T09:32:00+00:00)
2026-06-23 18:15:11 | INFO     | OrderBook-AAPL | Processing MARKET BUY order: Order(id=b5a9f1f3-0dcc-4841-9162-b3aa11b3647b, agent=retail_population_1, side=BUY, type=MARKET, qty=4/4, price=MKT, status=ACTIVE, time=2025-03-01T09:32:00+00:00)
2026-06-23 18:15:11 | WARNING  | OrderBook-AAPL | Market order b5a9f1f3-0dcc-4841-9162-b3aa11b3647b partially unfilled: 4 shares remaining
2026-06-23 18:15:11 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=3fdaa2e4-9c86-4ca5-9de2-cd24c623439a, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=ACTIVE, time=2025-03-01T09:32:00+00:00)
2026-06-23 18:15:11 | INFO     | OrderBook-AAPL | Adding LIMIT BUY order: Order(id=3fdaa2e4-9c86-4ca5-9de2-cd24c623439a, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=ACTIVE, time=2025-03-01T09:32:00+00:00)
2026-06-23 18:15:11 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=be0a35bf-a4f9-4d44-82de-d8862028f7dd, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=ACTIVE, time=2025-03-01T09:32:00+00:00)
2026-06-23 18:15:11 | INFO     | OrderBook-AAPL | Adding LIMIT SELL order: Order(id=be0a35bf-a4f9-4d44-82de-d8862028f7dd, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=ACTIVE, time=2025-03-01T09:32:00+00:00)
2026-06-23 18:15:16 | INFO     | OrderBook-AAPL | Order 3fdaa2e4-9c86-4ca5-9de2-cd24c623439a removed from bids at price 99.88
2026-06-23 18:15:16 | INFO     | OrderBook-AAPL | Order canceled: Order(id=3fdaa2e4-9c86-4ca5-9de2-cd24c623439a, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=CANCELED, time=2025-03-01T09:32:00+00:00)
2026-06-23 18:15:16 | INFO     | OrderBook-AAPL | Order be0a35bf-a4f9-4d44-82de-d8862028f7dd removed from asks at price 100.12
2026-06-23 18:15:16 | INFO     | OrderBook-AAPL | Order canceled: Order(id=be0a35bf-a4f9-4d44-82de-d8862028f7dd, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=CANCELED, time=2025-03-01T09:32:00+00:00)
2026-06-23 18:15:16 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=d27726fb-e4ef-42b9-bcef-4c01780c589b, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=ACTIVE, time=2025-03-01T09:32:30+00:00)
2026-06-23 18:15:16 | INFO     | OrderBook-AAPL | Adding LIMIT BUY order: Order(id=d27726fb-e4ef-42b9-bcef-4c01780c589b, agent=market_maker, side=BUY, type=LIMIT, qty=100/100, price=99.88, status=ACTIVE, time=2025-03-01T09:32:30+00:00)
2026-06-23 18:15:16 | INFO     | OrderBook-AAPL | Adding order to OrderBook: Order(id=5698b3e4-11fc-4dac-a0ed-eebc87c6cd16, agent=market_maker, side=SELL, type=LIMIT, qty=100/100, price=100.12, status=ACTIVE, time=2025-03-01T09:32:30+00:00)
