2026-06-23 18:15:51 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:36:00+00:00
2026-06-23 18:15:51 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 12
2026-06-23 18:15:51 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:36:00+00:00
2026-06-23 18:15:56 | INFO     | SimulationClock | Completed tick 12: advanced to 2025-03-01 09:36:30+00:00 
2026-06-23 18:15:56 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:36:30+00:00
2026-06-23 18:15:56 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 13
2026-06-23 18:15:56 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:36:30+00:00
2026-06-23 18:16:01 | INFO     | SimulationClock | Completed tick 13: advanced to 2025-03-01 09:37:00+00:00 
2026-06-23 18:16:01 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:37:00+00:00
2026-06-23 18:16:01 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 14
2026-06-23 18:16:01 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:37:00+00:00
2026-06-23 18:16:06 | INFO     | SimulationClock | Completed tick 14: advanced to 2025-03-01 09:37:30+00:00 
2026-06-23 18:16:06 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:37:30+00:00
2026-06-23 18:16:06 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 15
2026-06-23 18:16:06 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:37:30+00:00
2026-06-23 18:16:11 | INFO     | SimulationClock | Completed tick 15: advanced to 2025-03-01 09:38:00+00:00 
2026-06-23 18:16:11 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:38:00+00:00
2026-06-23 18:16:11 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 16
2026-06-23 18:16:11 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:38:00+00:00
2026-06-23 18:16:16 | INFO     | SimulationClock | Completed tick 16: advanced to 2025-03-01 09:38:30+00:00 
2026-06-23 18:16:16 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:38:30+00:00
2026-06-23 18:16:17 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 17
2026-06-23 18:16:17 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:38:30+00:00
2026-06-23 18:16:22 | INFO     | SimulationClock | Completed tick 17: advanced to 2025-03-01 09:39:00+00:00 
2026-06-23 18:16:22 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:39:00+00:00
2026-06-23 18:16:22 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 18
2026-06-23 18:16:22 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:39:00+00:00
2026-06-23 18:16:27 | INFO     | SimulationClock | Completed tick 18: advanced to 2025-03-01 09:39:30+00:00 
2026-06-23 18:16:27 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:39:30+00:00
2026-06-23 18:16:27 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 19
2026-06-23 18:16:27 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:39:30+00:00
2026-06-23 18:16:32 | INFO     | SimulationClock | Completed tick 19: advanced to 2025-03-01 09:40:00+00:00 
2026-06-23 18:16:32 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:40:00+00:00
2026-06-23 18:16:32 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 20
2026-06-23 18:16:32 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:40:00+00:00
2026-06-23 18:16:37 | INFO     | SimulationClock | Completed tick 20: advanced to 2025-03-01 09:40:30+00:00 
2026-06-23 18:16:37 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:40:30+00:00
2026-06-23 18:16:37 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 21
2026-06-23 18:16:37 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:40:30+00:00
2026-06-23 18:16:42 | INFO     | SimulationClock | Completed tick 21: advanced to 2025-03-01 09:41:00+00:00 
2026-06-23 18:16:42 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:41:00+00:00
2026-06-23 18:16:42 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 22
2026-06-23 18:16:42 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:41:00+00:00
2026-06-23 18:16:47 | INFO     | SimulationClock | Completed tick 22: advanced to 2025-03-01 09:41:30+00:00 
2026-06-23 18:16:47 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:41:30+00:00
2026-06-23 18:16:47 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 23
2026-06-23 18:16:47 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:41:30+00:00
2026-06-23 18:16:52 | INFO     | SimulationClock | Completed tick 23: advanced to 2025-03-01 09:42:00+00:00 
2026-06-23 18:16:52 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:42:00+00:00
2026-06-23 18:16:52 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 24
2026-06-23 18:16:52 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:42:00+00:00
2026-06-23 18:16:57 | INFO     | SimulationClock | Completed tick 24: advanced to 2025-03-01 09:42:30+00:00 
2026-06-23 18:16:57 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:42:30+00:00
2026-06-23 18:16:57 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 25
2026-06-23 18:16:57 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:42:30+00:00
2026-06-23 18:17:02 | INFO     | SimulationClock | Completed tick 25: advanced to 2025-03-01 09:43:00+00:00 
2026-06-23 18:17:02 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:43:00+00:00
2026-06-23 18:17:02 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 26
2026-06-23 18:17:02 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:43:00+00:00
2026-06-23 18:17:07 | INFO     | SimulationClock | Completed tick 26: advanced to 2025-03-01 09:43:30+00:00 
2026-06-23 18:17:07 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:43:30+00:00
2026-06-23 18:17:07 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 27
2026-06-23 18:17:07 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:43:30+00:00
2026-06-23 18:17:12 | INFO     | SimulationClock | Completed tick 27: advanced to 2025-03-01 09:44:00+00:00 
2026-06-23 18:17:12 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:44:00+00:00
2026-06-23 18:17:12 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 28
2026-06-23 18:17:12 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:44:00+00:00
2026-06-23 18:17:17 | INFO     | SimulationClock | Completed tick 28: advanced to 2025-03-01 09:44:30+00:00 
2026-06-23 18:17:17 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:44:30+00:00
2026-06-23 18:17:17 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 29
2026-06-23 18:17:17 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:44:30+00:00
2026-06-23 18:17:22 | INFO     | SimulationClock | Completed tick 29: advanced to 2025-03-01 09:45:00+00:00 
2026-06-23 18:17:22 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:45:00+00:00
2026-06-23 18:17:22 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 30
2026-06-23 18:17:22 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:45:00+00:00
2026-06-23 18:17:27 | INFO     | SimulationClock | Completed tick 30: advanced to 2025-03-01 09:45:30+00:00 
2026-06-23 18:17:27 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:45:30+00:00
2026-06-23 18:17:27 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 31
2026-06-23 18:17:27 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:45:30+00:00
2026-06-23 18:17:32 | INFO     | SimulationClock | Completed tick 31: advanced to 2025-03-01 09:46:00+00:00 
2026-06-23 18:17:32 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:46:00+00:00
2026-06-23 18:17:32 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 32
2026-06-23 18:17:32 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:46:00+00:00
2026-06-23 18:17:37 | INFO     | SimulationClock | Completed tick 32: advanced to 2025-03-01 09:46:30+00:00 
2026-06-23 18:17:37 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:46:30+00:00
2026-06-23 18:17:37 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 33
2026-06-23 18:17:37 | INFO     | SimulationClock | Broadcasting TIME_TICK to trading agents at 2025-03-01 09:46:30+00:00
2026-06-23 18:17:42 | INFO     | SimulationClock | Completed tick 33: advanced to 2025-03-01 09:47:00+00:00 
2026-06-23 18:17:42 | INFO     | SimulationClock | Broadcasting TIME_TICK to exchange agents at 2025-03-01 09:47:00+00:00
2026-06-23 18:17:42 | INFO     | SimulationClock | Barrier sync: 1/1 exchange agents responded for tick 34
